celeb_id,celeb_name,name,gender,birth_year,agency
RM_original,RM_original,RM_original,,,
가을_original,가을_original,가을_original,,,
강다니엘_original,강다니엘_original,강다니엘_original,,,
강동원_original,강동원_original,강동원_original,,,
강호동_original,강호동_original,강호동_original,,,
고아성_original,고아성_original,고아성_original,,,
고현정_original,고현정_original,고현정_original,,,
공유_original,공유_original,공유_original,,,
공효진_original,공효진_original,공효진_original,,,
규현_original,규현_original,규현_original,,,
김고은_original,김고은_original,김고은_original,,,
김구라_original,김구라_original,김구라_original,,,
김남주_original,김남주_original,김남주_original,,,
김새론_original,김새론_original,김새론_original,,,
김선아_original,김선아_original,김선아_original,,,
김선호_original,김선호_original,김선호_original,,,
김소현_original,김소현_original,김소현_original,,,
김수현_original,김수현_original,김수현_original,,,
김숙_original,김숙_original,김숙_original,,,
김우빈_original,김우빈_original,김우빈_original,,,
김유정_original,김유정_original,김유정_original,,,
김윤석_original,김윤석_original,김윤석_original,,,
김재욱_original,김재욱_original,김재욱_original,,,
김종민_original,김종민_original,김종민_original,,,
김준호_original,김준호_original,김준호_original,,,
김지원_original,김지원_original,김지원_original,,,
김태리_original,김태리_original,김태리_original,,,
김태희_original,김태희_original,김태희_original,,,
김하늘_original,김하늘_original,김하늘_original,,,
김향기_original,김향기_original,김향기_original,,,
김혜수_original,김혜수_original,김혜수_original,,,
김희선_original,김희선_original,김희선_original,,,
나연_original,나연_original,나연_original,,,
남주혁_original,남주혁_original,남주혁_original,,,
노정의_original,노정의_original,노정의_original,,,
닝닝_original,닝닝_original,닝닝_original,,,
다니엘_original,다니엘_original,다니엘_original,,,
다현_original,다현_original,다현_original,,,
대성_original,대성_original,대성_original,,,
도영_original,도영_original,도영_original,,,
동해_original,동해_original,동해_original,,,
디오_original,디오_original,디오_original,,,
레이_original,레이_original,레이_original,,,
로제_original,로제_original,로제_original,,,
루카스_original,루카스_original,루카스_original,,,
류승룡_original,류승룡_original,류승룡_original,,,
류준열_original,류준열_original,류준열_original,,,
리사_original,리사_original,리사_original,,,
리즈_original,리즈_original,리즈_original,,,
마동석_original,마동석_original,마동석_original,,,
마크_original,마크_original,마크_original,,,
모모_original,모모_original,모모_original,,,
문채원_original,문채원_original,문채원_original,,,
미나_original,미나_original,미나_original,,,
민지_original,민지_original,민지_original,,,
민호_original,민호_original,민호_original,,,
박나래_original,박나래_original,박나래_original,,,
박명수_original,박명수_original,박명수_original,,,
박민영_original,박민영_original,박민영_original,,,
박보검_original,박보검_original,박보검_original,,,
박보영_original,박보영_original,박보영_original,,,
박서준_original,박서준_original,박서준_original,,,
박신혜_original,박신혜_original,박신혜_original,,,
박지훈_original,박지훈_original,박지훈_original,,,
박해일_original,박해일_original,박해일_original,,,
배두나_original,배두나_original,배두나_original,,,
백현_original,백현_original,백현_original,,,
보나_original,보나_original,보나_original,,,
뷔_original,뷔_original,뷔_original,,,
사나_original,사나_original,사나_original,,,
서강준_original,서강준_original,서강준_original,,,
서현_original,서현_original,서현_original,,,
서현진_original,서현진_original,서현진_original,,,
설경구_original,설경구_original,설경구_original,,,
설윤_original,설윤_original,설윤_original,,,
세훈_original,세훈_original,세훈_original,,,
소지섭_original,소지섭_original,소지섭_original,,,
손예진_original,손예진_original,손예진_original,,,
송강_original,송강_original,송강_original,,,
송강호_original,송강호_original,송강호_original,,,
송은이_original,송은이_original,송은이_original,,,
송중기_original,송중기_original,송중기_original,,,
송혜교_original,송혜교_original,송혜교_original,,,
수빈_original,수빈_original,수빈_original,,,
수영_original,수영_original,수영_original,,,
수지_original,수지_original,수지_original,,,
수호_original,수호_original,수호_original,,,
슈가_original,슈가_original,슈가_original,,,
시우민_original,시우민_original,시우민_original,,,
신동엽_original,신동엽_original,신동엽_original,,,
신민아_original,신민아_original,신민아_original,,,
심은경_original,심은경_original,심은경_original,,,
아이유_original,아이유_original,아이유_original,,,
안소희_original,안소희_original,안소희_original,,,
안재현_original,안재현_original,안재현_original,,,
안효섭_original,안효섭_original,안효섭_original,,,
양세형_original,양세형_original,양세형_original,,,
엄정화_original,엄정화_original,엄정화_original,,,
온유_original,온유_original,온유_original,,,
옹성우_original,옹성우_original,옹성우_original,,,
원빈_original,원빈_original,원빈_original,,,
원영_original,원영_original,원영_original,,,
윈윈_original,윈윈_original,윈윈_original,,,
윈터_original,윈터_original,윈터_original,,,
유세윤_original,유세윤_original,유세윤_original,,,
유아인_original,유아인_original,유아인_original,,,
유인나_original,유인나_original,유인나_original,,,
유재석_original,유재석_original,유재석_original,,,
유진_original,유진_original,유진_original,,,
유타_original,유타_original,유타_original,,,
유해진_original,유해진_original,유해진_original,,,
윤아_original,윤아_original,윤아_original,,,
은혁_original,은혁_original,은혁_original,,,
이경규_original,이경규_original,이경규_original,,,
이광수_original,이광수_original,이광수_original,,,
이나영_original,이나영_original,이나영_original,,,
이대휘_original,이대휘_original,이대휘_original,,,
이동욱_original,이동욱_original,이동욱_original,,,
이민정_original,이민정_original,이민정_original,,,
이민호_original,이민호_original,이민호_original,,,
이병헌_original,이병헌_original,이병헌_original,,,
이보영_original,이보영_original,이보영_original,,,
이서_original,이서_original,이서_original,,,
이선균_original,이선균_original,이선균_original,,,
이세영_original,이세영_original,이세영_original,,,
이수근_original,이수근_original,이수근_original,,,
이승기_original,이승기_original,이승기_original,,,
이영애_original,이영애_original,이영애_original,,,
이영자_original,이영자_original,이영자_original,,,
이요원_original,이요원_original,이요원_original,,,
이정재_original,이정재_original,이정재_original,,,
이종석_original,이종석_original,이종석_original,,,
이준기_original,이준기_original,이준기_original,,,
이특_original,이특_original,이특_original,,,
임수정_original,임수정_original,임수정_original,,,
장도연_original,장도연_original,장도연_original,,,
장동건_original,장동건_original,장동건_original,,,
재현_original,재현_original,재현_original,,,
쟈니_original,쟈니_original,쟈니_original,,,
전여빈_original,전여빈_original,전여빈_original,,,
전지현_original,전지현_original,전지현_original,,,
정국_original,정국_original,정국_original,,,
정연_original,정연_original,정연_original,,,
정우성_original,정우성_original,정우성_original,,,
정유미_original,정유미_original,정유미_original,,,
정재영_original,정재영_original,정재영_original,,,
정준하_original,정준하_original,정준하_original,,,
정해인_original,정해인_original,정해인_original,,,
제니_original,제니_original,제니_original,,,
제시카_original,제시카_original,제시카_original,,,
제이홉_original,제이홉_original,제이홉_original,,,
조보아_original,조보아_original,조보아_original,,,
조세호_original,조세호_original,조세호_original,,,
조승우_original,조승우_original,조승우_original,,,
조인성_original,조인성_original,조인성_original,,,
조정석_original,조정석_original,조정석_original,,,
조진웅_original,조진웅_original,조진웅_original,,,
주원_original,주원_original,주원_original,,,
지드래곤_original,지드래곤_original,지드래곤_original,,,
지민_original,지민_original,지민_original,,,
지수_original,지수_original,지수_original,,,
지젤_original,지젤_original,지젤_original,,,
지창욱_original,지창욱_original,지창욱_original,,,
지효_original,지효_original,지효_original,,,
진_original,진_original,진_original,,,
쯔위_original,쯔위_original,쯔위_original,,,
차승원_original,차승원_original,차승원_original,,,
차은우_original,차은우_original,차은우_original,,,
찬열_original,찬열_original,찬열_original,,,
채영_original,채영_original,채영_original,,,
채정안_original,채정안_original,채정안_original,,,
청하_original,청하_original,청하_original,,,
최민식_original,최민식_original,최민식_original,,,
카리나_original,카리나_original,카리나_original,,,
카이_original,카이_original,카이_original,,,
키_original,키_original,키_original,,,
탑_original,탑_original,탑_original,,,
태민_original,태민_original,태민_original,,,
태양_original,태양_original,태양_original,,,
태연_original,태연_original,태연_original,,,
태용_original,태용_original,태용_original,,,
티파니_original,티파니_original,티파니_original,,,
하니_original,하니_original,하니_original,,,
하성운_original,하성운_original,하성운_original,,,
하정우_original,하정우_original,하정우_original,,,
하지원_original,하지원_original,하지원_original,,,
하하_original,하하_original,하하_original,,,
한가인_original,한가인_original,한가인_original,,,
한소희_original,한소희_original,한소희_original,,,
한예슬_original,한예슬_original,한예슬_original,,,
한지민_original,한지민_original,한지민_original,,,
한효주_original,한효주_original,한효주_original,,,
해린_original,해린_original,해린_original,,,
현빈_original,현빈_original,현빈_original,,,
혜인_original,혜인_original,혜인_original,,,
화사_original,화사_original,화사_original,,,
황민현_original,황민현_original,황민현_original,,,
황인엽_original,황인엽_original,황인엽_original,,,
황정민_original,황정민_original,황정민_original,,,
황정음_original,황정음_original,황정음_original,,,
